#chrom	start	end	name	score	strand	thickStart	thicEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
VII	489484	490576	YGL005C	.	-	489484	490576	0	1	1092	489480	Q1
IV	821151	825827	YDR180W	.	+	821151	825827	0	1	4676	821143	Q1
II	691912	694611	YBR237W	.	+	691912	694611	0	1	2699	691906	Q1
XII	563428	564581	YLR211C	.	-	563428	564581	0	1	1153	563423	Q1
XI	635593	638394	YKR099W	.	+	635593	638394	0	1	2801	635587	Q1
XIII	194829	195782	YML041C	.	-	194829	195782	0	1	953	194828	Q1
IX	397241	398445	YIR021W	.	+	397241	398445	0	1	1204	397238	Q1
XV	248299	249617	YOL043C	.	-	248299	249617	0	1	1318	248297	Q1
X	299057	302872	YJL074C	.	-	299057	302872	0	1	3815	299055	Q1
XV	453705	455910	YOR069W	.	+	453705	455910	0	1	2205	453701	Q1
XI	507921	508681	YKR035W-A	.	+	507921	508681	0	1	760	507916	Q1
XV	533995	537042	YOR113W	.	+	533995	537042	0	1	3047	533990	Q1
XII	784701	786289	YLR328W	.	+	784701	786289	0	1	1588	784694	Q1
VIII	256331	258123	YHR078W	.	+	256331	258123	0	1	1792	256329	Q1
XIII	16983	18986	YML127W	.	+	16983	18986	0	1	2003	16982	Q1
VII	1012286	1014214	YGR260W	.	+	1012286	1014214	0	1	1928	1012285	Q1
X	398787	402486	YJL020C	.	-	398787	402486	0	1	3699	398784	Q1
XIII	49850	50981	YML110C	.	-	49850	50981	0	1	1131	49846	Q1
V	550777	551170	YER180C-A	.	-	550777	551170	0	1	393	550772	Q1
XII	660648	663192	YLR258W	.	+	660648	663192	0	1	2544	660642	Q1
VIII	437071	439118	YHR166C	.	-	437071	439118	0	1	2047	437067	Q1
III	128026	130550	YCR008W	.	+	128026	130550	0	1	2524	128025	Q1
XIV	319198	321703	YNL167C	.	-	319198	321703	0	1	2505	319195	Q1
VI	246093	248177	YFR048W	.	+	246093	248177	0	1	2084	246091	Q1
IV	636855	639960	YDR096W	.	+	636855	639960	0	1	3105	636849	Q1
III	35584	37733	YCL051W	.	+	35584	37733	0	1	2149	35581	Q1
XIII	129704	131648	YML071C	.	-	129704	131648	0	1	1944	129703	Q1
XV	442641	443574	YOR062C	.	-	442641	443574	0	1	933	442637	Q1
XII	17939	19760	YLL061W	.	+	17939	19760	0	1	1821	17938	Q1
V	451520	453373	YER140W	.	+	451520	453373	0	1	1853	451516	Q1
IV	940976	943429	YDR239C	.	-	940976	943429	0	1	2453	940967	Q1
XIII	572191	572800	YMR158W	.	+	572191	572800	0	1	609	572186	Q1
IX	199553	200131	YIL087C	.	-	199553	200131	0	1	578	199552	Q1
XVI	495459	497794	YPL029W	.	+	495459	497794	0	1	2335	495455	Q1
XIV	390048	392343	YNL125C	.	-	390048	392343	0	1	2295	390045	Q1
X	618137	619174	YJR101W	.	+	618137	619174	0	1	1037	618131	Q1
IV	461831	462555	YDR007W	.	+	461831	462555	0	1	724	461827	Q1
XIV	145420	146619	YNL264C	.	-	145420	146619	0	1	1199	145419	Q1
VII	508993	511073	YGR009C	.	-	508993	511073	0	1	2080	508988	Q1
XVI	704829	706714	YPR083W	.	+	704829	706714	0	1	1885	704822	Q1
VII	193571	196526	YGL163C	.	-	193571	196526	0	1	2955	193570	Q1
III	52624	54924	YCL039W	.	+	52624	54924	0	1	2300	52619	Q1
III	289475	291204	YCR095W-A	.	+	289475	291204	0	1	1729	289473	Q1
XVI	594385	596431	YPR018W	.	+	594385	596431	0	1	2046	594380	Q1
IV	1002363	1003562	YDR267C	.	-	1002363	1003562	0	1	1199	1002362	Q1
XI	482046	483195	YKR022C	.	-	482046	483195	0	1	1149	482042	Q1
XIII	458314	459496	YMR096W	.	+	458314	459496	0	1	1182	458310	Q1
VI	58562	62937	YFL036W	.	+	58562	62937	0	1	4375	58557	Q1
II	458836	460321	YBR110W	.	+	458836	460321	0	1	1485	458832	Q1
IV	1404358	1405908	YDR473C	.	-	1404358	1405908	0	1	1550	1404357	Q1
IV	728158	730394	YDR137W	.	+	728158	730394	0	1	2236	728151	Q1
XIII	267080	267879	YML001W	.	+	267080	267879	0	1	799	267078	Q1
IV	164824	167305	YDL164C	.	-	164824	167305	0	1	2481	164823	Q1
X	402793	405274	YJL019W	.	+	402793	405274	0	1	2481	402789	Q1
XIII	429828	431242	YMR081C	.	-	429828	431242	0	1	1414	429824	Q1
VIII	124015	125915	YHR009C	.	-	124015	125915	0	1	1900	124014	Q1
XVI	166093	167648	YPL203W	.	+	166093	167648	0	1	1555	166092	Q1
IX	353880	355540	YIL001W	.	+	353880	355540	0	1	1660	353877	Q1
IV	1189131	1189646	YDR357C	.	-	1189131	1189646	0	1	515	1189130	Q1
II	366714	368317	YBR063C	.	-	366714	368317	0	1	1603	366711	Q1
XI	418246	420199	YKL012W	.	+	418246	420199	0	1	1953	418242	Q1
X	160541	161703	YJL133W	.	+	160541	161703	0	1	1162	160540	Q1
IX	69503	73669	YIL147C	.	-	69503	73669	0	1	4166	69497	Q1
XVI	503463	504311	YPL024W	.	+	503463	504311	0	1	848	503458	Q1
XIII	243221	244123	YML014W	.	+	243221	244123	0	1	902	243219	Q1
XIV	40607	42119	YNL317W	.	+	40607	42119	0	1	1512	40603	Q1
VII	617981	619968	YGR065C	.	-	617981	619968	0	1	1987	617975	Q1
VII	606114	607441	YGR058W	.	+	606114	607441	0	1	1327	606108	Q1
X	611072	612131	YJR096W	.	+	611072	612131	0	1	1059	611066	Q1
XII	146266	147675	YLL002W	.	+	146266	147675	0	1	1409	146265	Q1
XV	923927	925072	YOR325W	.	+	923927	925072	0	1	1145	923918	Q1
IV	68870	70338	YDL216C	.	-	68870	70338	0	1	1468	68864	Q1
XI	491264	493740	YKR027W	.	+	491264	493740	0	1	2476	491260	Q1
II	301920	304786	YBR033W	.	+	301920	304786	0	1	2866	301917	Q1
XV	865591	866626	YOR292C	.	-	865591	866626	0	1	1035	865583	Q1
XIV	559762	560534	YNL036W	.	+	559762	560534	0	1	772	559757	Q1
VI	207434	208430	YFR027W	.	+	207434	208430	0	1	996	207432	Q1
X	395740	396634	YJL024C	.	-	395740	396634	0	1	894	395737	Q1
XI	443026	444993	YKR002W	.	+	443026	444993	0	1	1967	443022	Q1
XII	513107	513846	YLR178C	.	-	513107	513846	0	1	739	513102	Q1
XVI	656788	657399	YPR046W	.	+	656788	657399	0	1	611	656782	Q1
VIII	81760	83757	YHL010C	.	-	81760	83757	0	1	1997	81752	Q1
VII	687818	690028	YGR099W	.	+	687818	690028	0	1	2210	687812	Q1
II	513612	515366	YBR138C	.	-	513612	515366	0	1	1754	513607	Q1
VII	1012216	1013249	YGR259C	.	-	1012216	1013249	0	1	1033	1012215	Q1
IV	413928	414963	YDL021W	.	+	413928	414963	0	1	1035	413924	Q1
XI	599832	603165	YKR086W	.	+	599832	603165	0	1	3333	599827	Q1
XV	247085	248365	YOL044W	.	+	247085	248365	0	1	1280	247083	Q1
XII	614676	616307	YLR238W	.	+	614676	616307	0	1	1631	614670	Q1
XIV	635916	636789	YNR004W	.	+	635916	636789	0	1	873	635910	Q1
VII	940786	942236	YGR223C	.	-	940786	942236	0	1	1450	940777	Q1
XI	279041	280162	YKL085W	.	+	279041	280162	0	1	1121	279039	Q1
VII	1063679	1065059	YGR286C	.	-	1063679	1065059	0	1	1380	1063678	Q1
II	620816	622749	YBR200W	.	+	620816	622749	0	1	1933	620810	Q1
XV	371658	372128	YOR020W-A	.	+	371658	372128	0	1	470	371655	Q1
XVI	624243	627011	YPR029C	.	-	624243	627011	0	1	2768	624237	Q1
VIII	399130	401016	YHR151C	.	-	399130	401016	0	1	1886	399127	Q1
II	724419	726683	YBR255W	.	+	724419	726683	0	1	2264	724412	Q1
V	195104	196688	YER020W	.	+	195104	196688	0	1	1584	195103	Q1
VII	837085	840833	YGR170W	.	+	837085	840833	0	1	3748	837077	Q1
XIII	397013	397875	YMR063W	.	+	397013	397875	0	1	862	397010	Q1
VII	468992	472325	YGL013C	.	-	468992	472325	0	1	3333	468988	Q1
XV	1009117	1009719	YOR357C	.	-	1009117	1009719	0	1	602	1009116	Q1
VII	790336	793063	YGR150C	.	-	790336	793063	0	1	2727	790329	Q1
IV	30633	31908	YDL237W	.	+	30633	31908	0	1	1275	30630	Q1
VIII	394293	396805	YHR149C	.	-	394293	396805	0	1	2512	394290	Q1
X	268776	269895	YJL088W	.	+	268776	269895	0	1	1119	268774	Q1
XV	273920	274364	YOL026C	.	-	273920	274364	0	1	444	273918	Q1
V	123646	124761	YEL017W	.	+	123646	124761	0	1	1115	123645	Q1
IV	911982	913853	YDR223W	.	+	911982	913853	0	1	1871	911973	Q1
I	134082	135688	YAL010C	.	-	134082	135688	0	1	1606	134081	Q1
IV	320440	321699	YDL076C	.	-	320440	321699	0	1	1259	320437	Q1
XIII	568528	570353	YMR155W	.	+	568528	570353	0	1	1825	568523	Q1
XIII	328573	330270	YMR029C	.	-	328573	330270	0	1	1697	328570	Q1
IX	268115	268541	YIL046W-A	.	+	268115	268541	0	1	426	268113	Q1
XII	73595	76852	YLL032C	.	-	73595	76852	0	1	3257	73588	Q1
XVI	814300	815631	YPR140W	.	+	814300	815631	0	1	1331	814292	Q1
XV	282322	285479	YOL021C	.	-	282322	285479	0	1	3157	282320	Q1
IV	680421	681702	YDR113C	.	-	680421	681702	0	1	1281	680415	Q1
IV	1399530	1401305	YDR470C	.	-	1399530	1401305	0	1	1775	1399529	Q1
XI	188860	191494	YKL134C	.	-	188860	191494	0	1	2634	188859	Q1
XVI	893758	895783	YPR179C	.	-	893758	895783	0	1	2025	893750	Q1
XI	345962	346830	YKL049C	.	-	345962	346830	0	1	868	345959	Q1
IV	1233123	1233562	YDR379C-A	.	-	1233123	1233562	0	1	439	1233122	Q1
III	248960	249282	YCR075W-A	.	+	248960	249282	0	1	322	248958	Q1
IV	202799	205380	YDL141W	.	+	202799	205380	0	1	2581	202797	Q1
XV	455821	457965	YOR070C	.	-	455821	457965	0	1	2144	455817	Q1
I	84583	87031	YAL031C	.	-	84583	87031	0	1	2448	84575	Q1
XIV	568307	569723	YNL035C	.	-	568307	569723	0	1	1416	568302	Q1
IV	465012	465738	YDR010C	.	-	465012	465738	0	1	726	465008	Q1
V	374938	377805	YER109C	.	-	374938	377805	0	1	2867	374935	Q1
XV	923096	925187	YOR324C	.	-	923096	925187	0	1	2091	923087	Q1
XI	323221	325544	YKL062W	.	+	323221	325544	0	1	2323	323218	Q1
X	552964	554866	YJR062C	.	-	552964	554866	0	1	1902	552959	Q1
XIV	706107	707657	YNR045W	.	+	706107	707657	0	1	1550	706100	Q1
XII	143190	146101	YLL003W	.	+	143190	146101	0	1	2911	143189	Q1
XIV	280345	281606	YNL191W	.	+	280345	281606	0	1	1261	280343	Q1
XIII	703496	706919	YMR218C	.	-	703496	706919	0	1	3423	703489	Q1
II	339605	340763	YBR053C	.	-	339605	340763	0	1	1158	339602	Q1
V	208731	210311	YER027C	.	-	208731	210311	0	1	1580	208729	Q1
II	760268	760991	YBR278W	.	+	760268	760991	0	1	723	760261	Q1
XI	196242	200259	YKL129C	.	-	196242	200259	0	1	4017	196241	Q1
VI	192613	193542	YFR020W	.	+	192613	193542	0	1	929	192612	Q1
XIV	84048	86013	YNL291C	.	-	84048	86013	0	1	1965	84040	Q1
XIII	318650	319277	YMR022W	.	+	318650	319277	0	1	627	318647	Q1
IV	584633	587776	YDR069C	.	-	584633	587776	0	1	3143	584628	Q1
IV	359745	361374	YDL054C	.	-	359745	361374	0	1	1629	359742	Q1
XII	125476	127342	YLL012W	.	+	125476	127342	0	1	1866	125475	Q1
III	70117	71496	YCL028W	.	+	70117	71496	0	1	1379	70110	Q1
XII	292044	293609	YLR082C	.	-	292044	293609	0	1	1565	292042	Q1
III	166731	168174	YCR027C	.	-	166731	168174	0	1	1443	166730	Q1
XI	530828	532278	YKR051W	.	+	530828	532278	0	1	1450	530823	Q1
IV	1241042	1242116	YDR384C	.	-	1241042	1242116	0	1	1074	1241041	Q1
VII	44502	45252	YGL242C	.	-	44502	45252	0	1	750	44498	Q1
XVI	572700	575220	YPR008W	.	+	572700	575220	0	1	2520	572695	Q1
IV	565901	567741	YDR057W	.	+	565901	567741	0	1	1840	565896	Q1
XVI	747268	749055	YPR111W	.	+	747268	749055	0	1	1787	747261	Q1
XV	1039791	1041541	YOR374W	.	+	1039791	1041541	0	1	1750	1039790	Q1
XII	68477	70614	YLL035W	.	+	68477	70614	0	1	2137	68471	Q1
II	369937	370782	YBR066C	.	-	369937	370782	0	1	845	369934	Q1
VII	504549	505889	YGR005C	.	-	504549	505889	0	1	1340	504544	Q1
XIII	260213	261667	YML005W	.	+	260213	261667	0	1	1454	260211	Q1
V	271735	272239	YER058W	.	+	271735	272239	0	1	504	271733	Q1
IV	42673	43743	YDL230W	.	+	42673	43743	0	1	1070	42669	Q1
VIII	38754	39511	YHL031C	.	-	38754	39511	0	1	757	38751	Q1
X	722477	723984	YJR153W	.	+	722477	723984	0	1	1507	722470	Q1
XVI	264965	266198	YPL152W	.	+	264965	266198	0	1	1233	264963	Q1
XIII	845549	848540	YMR288W	.	+	845549	848540	0	1	2991	845541	Q1
IV	447905	449392	YDL001W	.	+	447905	449392	0	1	1487	447901	Q1
IV	293289	294847	YDL091C	.	-	293289	294847	0	1	1558	293287	Q1
XVI	355658	357812	YPL104W	.	+	355658	357812	0	1	2154	355655	Q1
XVI	181387	183182	YPL193W	.	+	181387	183182	0	1	1795	181386	Q1
XV	992794	994888	YOR350C	.	-	992794	994888	0	1	2094	992785	Q1
V	278235	279666	YER061C	.	-	278235	279666	0	1	1431	278233	Q1
IX	402771	403532	YIR024C	.	-	402771	403532	0	1	761	402767	Q1
III	62700	63293	YCL033C	.	-	62700	63293	0	1	593	62694	Q1
VIII	401974	402699	YHR153C	.	-	401974	402699	0	1	725	401970	Q1
IV	95902	98152	YDL203C	.	-	95902	98152	0	1	2250	95893	Q1
VII	295903	298186	YGL113W	.	+	295903	298186	0	1	2283	295901	Q1
XIII	460696	462691	YMR098C	.	-	460696	462691	0	1	1995	460692	Q1
X	349500	352212	YJL047C	.	-	349500	352212	0	1	2712	349497	Q1
XIV	237994	240065	YNL218W	.	+	237994	240065	0	1	2071	237992	Q1
XII	904656	906476	YLR392C	.	-	904656	906476	0	1	1820	904647	Q1
XII	769135	771755	YLR319C	.	-	769135	771755	0	1	2620	769128	Q1
XII	849800	852132	YLR362W	.	+	849800	852132	0	1	2332	849792	Q1
VIII	26210	27948	YHL036W	.	+	26210	27948	0	1	1738	26208	Q1
IV	666981	667905	YDR106W	.	+	666981	667905	0	1	924	666975	Q1
XVI	921058	923671	YPR193C	.	-	921058	923671	0	1	2613	921049	Q1
II	310494	311486	YBR037C	.	-	310494	311486	0	1	992	310491	Q1
IV	699766	701816	YDR124W	.	+	699766	701816	0	1	2050	699760	Q1
X	97697	99612	YJL172W	.	+	97697	99612	0	1	1915	97688	Q1
II	746112	747810	YBR272C	.	-	746112	747810	0	1	1698	746105	Q1
XVI	157841	159665	YPL208W	.	+	157841	159665	0	1	1824	157840	Q1
IV	614203	616259	YDR085C	.	-	614203	616259	0	1	2056	614197	Q1
XVI	117036	117949	YPL229W	.	+	117036	117949	0	1	913	117035	Q1
IX	188987	191064	YIL092W	.	+	188987	191064	0	1	2077	188986	Q1
XIV	34687	37552	YNL321W	.	+	34687	37552	0	1	2865	34684	Q1
II	683348	684819	YBR233W	.	+	683348	684819	0	1	1471	683342	Q1
II	203436	206022	YBL011W	.	+	203436	206022	0	1	2586	203434	Q1
X	398009	398892	YJL022W	.	+	398009	398892	0	1	883	398006	Q1
XIII	659468	661632	YMR198W	.	+	659468	661632	0	1	2164	659462	Q1
XIV	678737	680608	YNR030W	.	+	678737	680608	0	1	1871	678731	Q1
XVI	383403	384554	YPL087W	.	+	383403	384554	0	1	1151	383400	Q1
VI	77991	79215	YFL029C	.	-	77991	79215	0	1	1224	77984	Q1
XV	468194	469305	YOR075W	.	+	468194	469305	0	1	1111	468190	Q1
XII	116312	121176	YLL015W	.	+	116312	121176	0	1	4864	116311	Q1
V	330537	332465	YER087W	.	+	330537	332465	0	1	1928	330534	Q1
IV	1247970	1249967	YDR387C	.	-	1247970	1249967	0	1	1997	1247969	Q1
XVI	704067	704664	YPR082C	.	-	704067	704664	0	1	597	704060	Q1
II	730340	732521	YBR259W	.	+	730340	732521	0	1	2181	730333	Q1
X	449193	450736	YJR006W	.	+	449193	450736	0	1	1543	449189	Q1
XII	278841	280996	YLR072W	.	+	278841	280996	0	1	2155	278839	Q1
XV	194579	196400	YOL072W	.	+	194579	196400	0	1	1821	194578	Q1
IX	136346	138068	YIL119C	.	-	136346	138068	0	1	1722	136345	Q1
IV	276790	280274	YDL102W	.	+	276790	280274	0	1	3484	276788	Q1
VIII	488614	490485	YHR194W	.	+	488614	490485	0	1	1871	488610	Q1
XIII	793670	794887	YMR262W	.	+	793670	794887	0	1	1217	793663	Q1
X	719428	721386	YJR152W	.	+	719428	721386	0	1	1958	719421	Q1
X	392360	393744	YJL026W	.	+	392360	393744	0	1	1384	392357	Q1
VIII	420281	422424	YHR161C	.	-	420281	422424	0	1	2143	420277	Q1
IX	195512	196271	YIL089W	.	+	195512	196271	0	1	759	195511	Q1
XV	798619	800752	YOR249C	.	-	798619	800752	0	1	2133	798612	Q1
X	326178	327922	YJL058C	.	-	326178	327922	0	1	1744	326175	Q1
IV	1126196	1127624	YDR329C	.	-	1126196	1127624	0	1	1428	1126195	Q1
IV	34178	36620	YDL234C	.	-	34178	36620	0	1	2442	34175	Q1
VII	388864	389784	YGL061C	.	-	388864	389784	0	1	920	388861	Q1
XI	579664	580781	YKR075C	.	-	579664	580781	0	1	1117	579659	Q1
X	456154	457903	YJR010W	.	+	456154	457903	0	1	1749	456150	Q1
XII	682383	683664	YLR271W	.	+	682383	683664	0	1	1281	682377	Q1
VII	274655	276728	YGL124C	.	-	274655	276728	0	1	2073	274653	Q1
V	232378	234908	YER041W	.	+	232378	234908	0	1	2530	232376	Q1
VII	200447	202407	YGL160W	.	+	200447	202407	0	1	1960	200445	Q1
I	192574	196333	YAR042W	.	+	192574	196333	0	1	3759	192573	Q1
VIII	287022	288886	YHR092C	.	-	287022	288886	0	1	1864	287020	Q1
XVI	301565	302674	YPL132W	.	+	301565	302674	0	1	1109	301562	Q1
XVI	287323	289247	YPL140C	.	-	287323	289247	0	1	1924	287321	Q1
IX	420955	421810	YIR035C	.	-	420955	421810	0	1	855	420951	Q1
VI	49116	51181	YFL041W	.	+	49116	51181	0	1	2065	49112	Q1
II	666605	668391	YBR222C	.	-	666605	668391	0	1	1786	666599	Q1
VIII	176945	178033	YHR034C	.	-	176945	178033	0	1	1088	176944	Q1
XII	398485	399649	YLR128W	.	+	398485	399649	0	1	1164	398482	Q1
II	676225	679230	YBR229C	.	-	676225	679230	0	1	3005	676219	Q1
XII	724644	725421	YLR298C	.	-	724644	725421	0	1	777	724637	Q1
XVI	835471	837479	YPR155C	.	-	835471	837479	0	1	2008	835463	Q1
V	319931	321945	YER080W	.	+	319931	321945	0	1	2014	319928	Q1
IX	357297	360487	YIR002C	.	-	357297	360487	0	1	3190	357294	Q1
